#Time[d]	nu[GHz]		flux[microJy]	sigma[microJy]
16.4		3			18.7			6.3
17.4        3			15.1			3.9
18.3        3			14.5			3.7
22.4        3			22.5			3.4
24.2        3			25.6			2.9
31.3        3			34  			3.6
46.3        3			44  			4
54.3        3			48  			6
57.2        3			61  			9
93.1        3			70  			5.7
115         3			96.2			8
163         3			97.3			11.3
197         3			75.9			5.2
217         3			60.5			7.5
218         3			64.7			2.7
257         3			43.2			5.8
267         3			40.3			2.7
273         3			34.8			4.9
289         3			36.3			3.9
294         3			31.2			3.6
489         3			14.8			2.9
767         3			4.9 			1.8
