#Time[d]	nu[GHz]		flux[microJy]	highsigma[microJy]	lowsigma[microJy]
9.2			2.41e8		4.48e-4			1.44e-4				1.19e-4
14.9		2.41e8		5.11e-4			1.02e-4             0.90e-4
109			2.41e8		21.17e-4		1.90e-4             1.80e-4
133			2.41e8		21.94e-4		4.42e-4             4.15e-4
158			2.41e8		21.87e-4		1.88e-4             1.78e-4
161			2.41e8		17.38e-4		2.89e-4             2.76e-4
259			2.41e8		11.50e-4		1.45e-4             1.34e-4
357			2.41e8		7.12e-4			1.45e-4             1.27e-4
581			2.41e8		2.63e-4			0.77e-4             0.64e-4
741			2.41e8		2.19e-4			0.81e-4             0.65e-4
938			2.41e8		1.30e-4			0.59e-4             0.46e-4
