GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB200829A   |    993768    | 2.571380e-02 | NaN | NaN | 2.693420e-01 | NaN | NaN | 2.569570e+00 | NaN | NaN | 7.779810e+00 | NaN | NaN | 1.632580e+02 | NaN | NaN | 1.062700e+01 | NaN | NaN | 1.660890e+02 | NaN | NaN | 0.02 | -59.964000 | -59.944000 |  
GRB200819A   |    992099    | 1.893950e-01 | 0.000000e+00 | 6.173900e-01 | 3.932770e-01 | 1.250480e-01 | 7.280920e-01 | 6.386080e-01 | 3.501100e-01 | 9.152880e-01 | 5.450220e-01 | 1.761820e-01 | 1.007750e+00 | 2.330020e+00 | 0.000000e+00 | 7.438360e+00 | 1.766300e+00 | 1.013330e+00 | 2.528420e+00 | 3.551280e+00 | 1.664270e+00 | 8.287560e+00 | 0.02 | 0.388000 | 0.408000 |  
GRB200809B   |    987745    | 1.473160e-01 | 0.000000e+00 | 7.903540e-01 | 5.597980e-01 | 0.000000e+00 | 1.504740e+00 | 1.780330e+00 | 0.000000e+00 | 2.699330e+00 | 2.512600e+00 | 0.000000e+00 | 3.683620e+00 | 1.842170e+01 | 0.000000e+00 | 4.092810e+01 | 4.999980e+00 | 4.717900e-01 | 7.286900e+00 | 2.090870e+01 | 7.777440e+00 | 4.279880e+01 | 0.02 | 0.064000 | 0.084000 |  
GRB200806A   |    987016    | 2.715120e+00 | 1.913330e+00 | 3.593320e+00 | 4.827390e+00 | 3.871280e+00 | 5.760630e+00 | 6.576040e+00 | 5.532910e+00 | 7.611040e+00 | 4.901610e+00 | 3.799320e+00 | 6.057860e+00 | 1.850780e+01 | 1.304980e+01 | 2.523550e+01 | 1.902020e+01 | 1.613060e+01 | 2.190990e+01 | 3.262640e+01 | 2.637200e+01 | 3.955300e+01 | 0.02 | 22.476000 | 22.496000 |  
GRB200729A   |    984929    | 1.331650e+00 | 3.161080e-01 | 2.647560e+00 | 1.468700e+00 | 0.000000e+00 | 2.248350e+00 | 1.155550e+00 | 0.000000e+00 | 1.954760e+00 | 5.580440e-01 | 0.000000e+00 | 1.303170e+00 | 1.499810e+00 | 0.000000e+00 | 5.072610e+00 | 4.513910e+00 | 0.000000e+00 | 6.838190e+00 | 5.455450e+00 | 2.425340e+00 | 8.942490e+00 | 0.02 | 32.476000 | 32.496000 |  
GRB200716C   |    982707    | 4.118210e+00 | 2.896580e+00 | 5.440070e+00 | 7.704230e+00 | 6.158220e+00 | 9.207640e+00 | 1.111870e+01 | 9.365090e+00 | 1.286180e+01 | 8.666320e+00 | 6.773840e+00 | 1.064600e+01 | 3.405840e+01 | 2.426430e+01 | 4.608250e+01 | 3.160740e+01 | 2.677970e+01 | 3.643520e+01 | 5.699970e+01 | 4.586110e+01 | 6.936600e+01 | 0.02 | 0.088000 | 0.108000 |  
GRB200713A   |    982201    | 2.549310e-01 | 0.000000e+00 | 9.080920e-01 | 6.064930e-01 | 0.000000e+00 | 1.314430e+00 | 1.147520e+00 | 0.000000e+00 | 1.755090e+00 | 1.100360e+00 | 4.242000e-01 | 1.862560e+00 | 5.271970e+00 | 0.000000e+00 | 2.054740e+01 | 3.109300e+00 | 0.000000e+00 | 4.914940e+00 | 7.280770e+00 | 3.025970e+00 | 2.135340e+01 | 0.02 | 61.276000 | 61.296000 |  
GRB200711A   |    981957    | 9.017460e-01 | NaN | NaN | 1.517860e+00 | NaN | NaN | 1.923420e+00 | NaN | NaN | 1.353260e+00 | NaN | NaN | 4.906860e+00 | NaN | NaN | 5.712740e+00 | NaN | NaN | 9.467740e+00 | NaN | NaN | 0.02 | 0.500000 | 0.520000 |  
GRB200701A   |    980421    | 5.188400e-01 | 0.000000e+00 | 1.006580e+00 | 7.613150e-01 | 3.117620e-01 | 1.212460e+00 | 8.293660e-01 | 4.145860e-01 | 1.243460e+00 | 5.187080e-01 | 2.114940e-01 | 8.676750e-01 | 1.692970e+00 | 0.000000e+00 | 3.476760e+00 | 2.629160e+00 | 1.309470e+00 | 3.973310e+00 | 3.816650e+00 | 1.886710e+00 | 5.825880e+00 | 0.02 | 6.524000 | 6.544000 |  
GRB200630A   |    980210    | 8.924300e-01 | 2.352010e-01 | 1.581700e+00 | 6.891700e-01 | 0.000000e+00 | 1.181610e+00 | 3.555950e-01 | 0.000000e+00 | 7.570210e-01 | 1.239950e-01 | 0.000000e+00 | 3.551420e-01 | 2.643090e-01 | 0.000000e+00 | 9.843330e-01 | 2.064040e+00 | 6.202070e-01 | 3.520320e+00 | 2.220810e+00 | 6.337960e-01 | 3.869610e+00 | 0.02 | 0.652000 | 0.672000 |  
GRB200612A   |    977310    | 7.629370e-01 | 2.433260e-01 | 1.304450e+00 | 7.633180e-01 | 0.000000e+00 | 1.181720e+00 | 5.360090e-01 | 1.584880e-01 | 9.403910e-01 | 2.361730e-01 | 0.000000e+00 | 5.501160e-01 | 5.967170e-01 | 0.000000e+00 | 1.847190e+00 | 2.298420e+00 | 1.033040e+00 | 3.565990e+00 | 2.660370e+00 | 1.130570e+00 | 4.306990e+00 | 0.02 | 431.984000 | 432.004000 |  
GRB200608A   |    976692    | 7.880810e-01 | 0.000000e+00 | 1.599060e+00 | 9.685420e-01 | 4.192720e-01 | 1.491340e+00 | 8.639890e-01 | 6.338860e-01 | 1.309750e+00 | 4.614690e-01 | 1.503010e-01 | 9.351770e-01 | 1.331780e+00 | 0.000000e+00 | 3.956400e+00 | 3.082100e+00 | 1.656700e+00 | 4.543000e+00 | 3.952700e+00 | 2.120700e+00 | 6.142290e+00 | 0.02 | 86.656000 | 86.676000 |  
GRB200529A   |    974942    | 2.304690e+00 | 1.245610e+00 | 3.356350e+00 | 9.194450e-01 | 2.933220e-01 | 1.553570e+00 | 2.147350e-01 | 0.000000e+00 | 6.024650e-01 | 3.747420e-02 | 0.000000e+00 | 1.782010e-01 | 6.069630e-02 | 0.000000e+00 | 3.629640e-01 | 3.476460e+00 | 1.794100e+00 | 5.182290e+00 | 3.497390e+00 | 1.797020e+00 | 5.251810e+00 | 0.02 | 22.016000 | 22.036000 |  
GRB200528A   |    974827    | 6.841340e+00 | 5.457170e+00 | 8.271700e+00 | 6.412770e+00 | 5.490310e+00 | 7.334210e+00 | 4.172280e+00 | 3.327880e+00 | 5.012900e+00 | 1.727240e+00 | 1.228640e+00 | 2.285250e+00 | 4.196730e+00 | 2.773240e+00 | 5.967800e+00 | 1.915350e+01 | 1.641380e+01 | 2.189330e+01 | 2.162290e+01 | 1.840160e+01 | 2.487820e+01 | 0.02 | 34.364000 | 34.384000 |  
GRB200522A   |    973628    | 1.771400e+00 | 1.111870e+00 | 2.477820e+00 | 2.076860e+00 | 1.507590e+00 | 2.640760e+00 | 1.754220e+00 | 1.194770e+00 | 2.305810e+00 | 8.969250e-01 | 5.150640e-01 | 1.331480e+00 | 2.508160e+00 | 1.267060e+00 | 4.200100e+00 | 6.499430e+00 | 4.790910e+00 | 8.207950e+00 | 8.110240e+00 | 5.824750e+00 | 1.049180e+01 | 0.02 | 0.040000 | 0.060000 |  
