GRBName  T90
041217   5.65            
041219A                
041219B                
041219C  10.00           
041220   5.58            
041223   109.08          
041224   177.17          
041226   89.50             
041228   52.16           
050117   166.65          
050124   3.93            
050126   48.00           
050128   28.00           
050202   0.11          
050215A  66.41           
050215B  10.62           
050219A  23.84           
050219B  28.74           
050223   21.68           
050306   158.43          
050315   95.57           
050318   40.0          
050319   151.74          
050326   29.44           
050401   33.30           
050406   4.79            
050410   64.00           
050412   26.46           
050416A  6.62            
050416B  3.40            
050418   81.78           
050421   11.04           
050422   80.00           
050502B  16.62           
050505   58.88           
050507   217.6         
050509A  11.39           
050509B  0.02          
050525A  8.84            
050528   10.08           
050603   22.00           
050607   48.00           
050701   30.4            
050712   51.61           
050713A  94.91           
050713B  122.03          
050714B  46.87           
050715   49.62           
050716   69.02           
050717   77.84           
050721   94.37           
050724   99.14         
050726   49.70           
050730   145.05          
050801   19.40           
050802   27.46           
050803   88.12           
050813   0.45          
050814   144.00          
050815   2.38            
050819   37.72           
050820A                
050820B  12.06           
050822   104.12          
050824   24.82           
050826   35.73           
050827   49.98           
050904   181.70          
050906   0.153       
050908   18.29           
050911   16.24           
050915A  53.42           
050915B  43.16           
050916   80.00             
050922B  156.29          
050922C  4.54            
050925   0.09          
051001   190.63          
051006   26.04           
051008   64.0          
051012   24          
051016A  21.00           
051016B  4.02            
051021B  46.53           
051105A  0.06          
051109A  37.20           
051109B  13.38           
051111   64.00           
051113   93.28           
051114   4.5           
051117A  136.85          
051117B  9.01            
051210   1.30          
051213   71.06           
051221A  1.40          
051221B  39.91           
051227   115.40        
060102   19.00           
060105   54.38           
060108   14.22           
060109   115.62          
060110   21.14           
060111A  13.21           
060111B  58.83           
060115   122.21          
060116   104.83          
060117   16.86           
060124   658.2       
060202   172.16          
060203   69.52           
060204B  139.46          
060206   7.55            
060210   242.18          
060211A  118.20          
060211B  27.69           
060218   1040
060219   56.12           
060223A  11.32           
060223B  10.36           
060306   60.94           
060312   42.26           
060313   0.74          
060319   8.91            
060322   229.58          
060323   24.82           
060403   30.59           
060413   117.33          
060418   109.17          
060421   11.26           
060424   37.49           
060427   62.00           
060428A  39.48           
060428B  96.00           
060501   23.67           
060502A  28.54           
060502B  0.14          
060505               
060507   183.31          
060510A  20.15           
060510B  262.95          
060512   11.36           
060515   47.40           
060516   161.23          
060522   69.12           
060526   275.20          
060602A  74.68           
060604   96.00 
060605   539.12          
060607A  102.98          
060607B  29.36           
060614   109.22          
060707   66.65           
060708   9.96            
060712   30.91           
060714   116.04          
060717   2.46            
060719   66.86           
060728               
060729   113.04            
060801   0.50          
060804   18.21           
060805A  4.93            
060807   53.74           
060813   15.89           
060814   144.95          
060825   7.63            
060904A  80.06           
060904B  171.90          
060906   44.58           
060908   18.78           
060912A  5.03            
060919   9.01            
060923A  51.54           
060923B  8.95            
060923C  67.41           
060926   7.79            
060927   22.42           
060929   12.38           
061002   22.14           
061004   6.26            
061006   129.79        
061007   75.74           
061019   174.74            
061021   43.80           
061027               
061028   105.62          
061102   36.29           
061110A  44.51           
061110B  132.76          
061121   81.22           
061126   50.28           
061201   0.78          
061202   94.19             
061210   85.45         
061217   0.24          
061218                 
061222A  96.00           
061222B  37.25           
070103   18.40           
070107   333.76          
070110   79.71           
070126               
070129   459.05          
070208   64.00             
070209   0.07          
070219   17.20           
070220   144.00          
070223   100.00          
070224   48.00           
070227   3.00        
070306   209.24          
070318   131.52          
070328   72.12           
070330   6.64            
070406               
070411   102.04          
070412   32.45           
070419A  160.00          
070419B  238.14          
070420   77.02           
070427   11.08           
070429A  168.00          
070429B  0.49          
070506   4.35            
070508   20.90           
070509   7.83            
070517   7.80            
070518   4.35            
070520A  71.00           
070520B  96.00           
070521   38.63           
070529   108.90          
070531   44.62           
070611   13.18           
070612A  365.28          
070612B  18.00           
070616   406.82          
070621   33.26           
070628   39.04           
070704   377.58          
070714A  3.00            
070714B  80.00         
070721A  3.35            
070721B  336.86          
070724A  0.43          
070729   0.99          
070731   2.86            
070802   15.80           
070805   26.43           
070808   58.43           
070809   1.28          
070810A  9.04            
070810B  0.07          
070911   158.46          
070913   2.68            
070917   7.55            
070920A  51.54           
070920B  22.31           
070923   0.18          
071001   57.42           
071003   148.38          
071006   54.4        
071008   17.98           
071010A  6.32            
071010B  36.13           
071010C  12.8        
071011   80.88           
071013   26.08           
071018   288.00          
071020   4.30            
071021   228.72          
071025   241.30          
071028A  33.00           
071028B  3.2           
071031   150.49          
071101   4.82            
071112B  0.30          
071112C                
071117   6.07            
071118   105.60          
071122   80.00           
071129   430.13          
071227   144.98        
080121   0.192       
080123   0.04          
080129   50.22           
080130   112         
080205   104.06          
080207   290     
080210   39.36           
080212   117.38          
080218A  22.80           
080218B  5.06            
080229A  64.00           
080303   67.40           
080307   122.22          
080310   352.37          
080319A  43.62           
080319B  124.86          
080319C  29.55           
080319D  26.94           
080320   13.82           
080325   162.82          
080328   91.11           
080330   67.05           
080405   73.6        
080409   22.66           
080411   56.33           
080413A  46.36           
080413B  8.00            
080426   1.73          
080430   14.15           
080503   159.78        
080506   152.14          
080515   20.91           
080516   5.75            
080517   64.61           
080520   3.32            
080523   48.00           
080524   6.4           
080602   74.29           
080603B  59.12           
080604   69.16           
080605   18.05           
080607   78.86           
080613B  78.26           
080623   15.18           
080701   17.82           
080702A  0.51          
080702B  26.06         
080703   3.52            
080707   30.17           
080710   112.06          
080714   25.81           
080721   176.29          
080723A  17.91           
080725   92.74           
080727A  4.91            
080727B  8.66            
080727C  77.61           
080802   179.52          
080804   37.19           
080805   106.62          
080810   107.67          
080903   66.34           
080905A  1.02          
080905B  101.62          
080906   148.19          
080913   7.46            
080915A  23.84           
080915B  4.05            
080916A  61.35           
080916B  36.00           
080919   0.60          
080928   233.66          
081007   9.01            
081008   179.52          
081011   9.82            
081012   25.20           
081016B  2.62            
081017   320     
081022   157.58          
081024A  1.82          
081025   22.78         
081028   284.42          
081029   275.05          
081101   0.18          
081102   48.19           
081104   64.00           
081105   11.2        
081109A  221.49          
081118   49.28           
081121   17.67           
081126   57.65           
081127   17.31           
081128   96.77           
081203A  223.00          
081203B              
081210   145.91          
081211A  3.42            
081211B                  
081221   33.91       
081222   33.00           
081226A  0.44          
081228   3.00            
081230   66.00           
090102   29.30           
090107A  12.08           
090111   25.17           
090113   9.10            
090118   23.48         
090123   110.87          
090129   17.66           
090201   84.78           
090205   8.80            
090301A  41.37           
090305A  0.35          
090306B  20.53         
090307   22.00           
090308   25.10           
090309   3.00            
090313   70.66           
090401A  117.00          
090401B  186.51          
090404   82.01           
090407   315.44          
090410   165.14          
090417A  0.07          
090417B  282.49            
090418A  56.31           
090418B              
090419   460.67          
090422   8.47            
090423   9.77            
090424   49.47           
090426   1.24          
090429A  184.00          
090429B  5.61            
090509   336.38          
090510   5.66         
090515   0.04            
090516   208.00          
090518   85.82           
090519   58.26           
090520   43.2        
090529A  70    
090530   40.46           
090531A  42.80           
090531B  55.00 
090607   2.29          
090618   113.34          
090621A                
090621B  0.14          
090628   24.95           
090708   8.70            
090709A  88.73           
090709B  27.02           
090712   186.68          
090715A  64.00         
090715B  265.39          
090720A  3.0           
090726   56.68           
090727   301.87          
090728   64.00           
090807A  146.36          
090809A  7.84            
090812   75.09           
090813   7.14            
090814A  78.22           
090815C  0.58          
090827   8.0           
090831C  77.95           
090904A  129.53          
090904B  64.00           
090912   135.52          
090915   9.6           
090916   62.45 
090926B  99.28           
090927   2.16            
090929B  361.60          
091018   4.37            
091020   38.92           
091024   112.28          
091026   174.00          
091029   39.18           
091102   6.65            
091104   107.14          
091109A  48.03           
091109B  0.27          
091112   19.59           
091117   0.384       
091127   7.42            
091130B  130.91          
091208A  80.00           
091208B  14.80           
091221   68.49           
